descriptive_label,Label,Strain,Substrate,Phase,Replicate,Sample Shipped,Metabolomics,FTICR-MS,investigation_type,treatment,growth_phase,consensus_phase
ex_pvhg_wt_mid_exp_1b,Apr-54,WT,PVHG,mid,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,mid_exp
ex_pvhg_wt_late_exp_2b,Apr-55,WT,PVHG,late,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_late_exp_3b,Apr-56,WT,PVHG,late,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_late_exp_1b,Apr-57,WT,PVHG,late,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,late_exp
ex_pvhg_wt_early_stat_2b,Apr-58,WT,PVHG,early,2,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_pvhg_wt_early_stat_3b,Apr-59,WT,PVHG,early,3,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
ex_pvhg_wt_early_stat_1b,Apr-60,WT,PVHG,early,1,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,early_stat
gresham_pvhg_t0,Apr-64,N/A,Gresham PVHG t0,,X,liquid in 2 mL screw cap centrifuge tube,extracellular (LCMS),,,,,unknown
in_glc_wt_early_stat_1,4-A,WT,GLC,early,1,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",GLC-grown cells,early stationary,early_stat
in_glc_wt_early_stat_2,4-B,WT,GLC,early,2,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",GLC-grown cells,early stationary,early_stat
in_glc_wt_early_stat_3,4-C,WT,GLC,early,3,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",GLC-grown cells,early stationary,early_stat
in_glc/phe_wt_early_stat_1,4-D,WT,GLC/PHE,early,1,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,,,,early_stat
in_glc/phe_wt_early_stat_2,4-E,WT,GLC/PHE,early,2,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",GLC/PHE-grown cells,early stationary,early_stat
in_glc/phe_wt_early_stat_3,4-F,WT,GLC/PHE,early,3,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",GLC/PHE-grown cells,early stationary,early_stat
in_phe_wt_early_stat_1,4-G,WT,PHE,early,1,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",PHE-grown cells,early stationary,early_stat
in_phe_wt_early_stat_2,4-H,WT,PHE,early,2,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",PHE-grown cells,early stationary,early_stat
in_phe_wt_early_stat_3,4-I,WT,PHE,early,3,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",PHE-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_1b,4-J,WT,PVHG,early,1,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",PVHG-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_2b,4-K,WT,PVHG,early,2,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,"metabolome, intracellular",PVHG-grown cells,early stationary,early_stat
in_pvhg_wt_early_stat_3b,4-L,WT,PVHG,early,3,pellet in 1.5 mL screw cap centrifuge tube,intracellular (GC-MS + LCMS),,,,,early_stat
